h_sched_22,Heating,Multiple,Temperature,,,,,12,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,12,12,12,12,12,12,12
h_sched_23,Heating,Multiple,Temperature,,,,,12,12,12,12,12,12,12,12,12,12,12,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,12,12,12,12,12,12,12,12,12
c_sched_23,Cooling,Multiple,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,50,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,50,50,50,50,50,50,50,50,50
c_sched_24,Cooling,Multiple,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50
c_sched_25,Cooling,Multiple,Temperature,,,,,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,50,50,50,50,50,50
Office_OccSched,OccSched,Multiple,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office_EquipSched,OccSched,Multiple,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office_LightSched,OccSched,Multiple,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant_OccSched,OccSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Server_OccSched,OccSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlwaysOff,AlwaysOff,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WifiSum,OccSched,Multiple,Fraction,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.06,0.11,0.24,0.36,0.47,0.55,0.63,0.68,0.7,0.67,0.65,0.69,0.74,0.76,0.76,0.77,0.75,0.73,0.66,0.55,0.47,0.37,0.28,0.21,0.15,0.12,0.11,0.09,0.08,0.06,0.04,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.07,0.08,0.12,0.12,0.14,0.13,0.16,0.15,0.19,0.15,0.21,0.18,0.2,0.16,0.16,0.15,0.13,0.1,0.11,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.03,0.02,0.02
WifiSumPlusStd,OccSched,Multiple,Fraction,,,,,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.07,0.15,0.31,0.47,0.61,0.71,0.81,0.88,0.91,0.87,0.85,0.89,0.95,0.98,0.99,1,0.97,0.94,0.86,0.72,0.61,0.48,0.36,0.28,0.2,0.16,0.14,0.11,0.1,0.08,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.1,0.1,0.15,0.16,0.18,0.17,0.21,0.2,0.26,0.2,0.28,0.24,0.26,0.22,0.21,0.2,0.18,0.13,0.14,0.13,0.12,0.1,0.1,0.09,0.07,0.07,0.04,0.03,0.02
WifiSumMinusStd,OccSched,Multiple,Fraction,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.08,0.16,0.25,0.33,0.38,0.44,0.47,0.49,0.47,0.46,0.48,0.52,0.53,0.53,0.54,0.52,0.51,0.46,0.38,0.32,0.26,0.19,0.15,0.11,0.08,0.07,0.06,0.05,0.04,0.02,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.05,0.08,0.08,0.09,0.09,0.11,0.1,0.13,0.1,0.14,0.12,0.13,0.11,0.11,0.1,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.04,0.04,0.02,0.02,0.01
Server_LightSched,LightSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plant_LightSched,LightSched,NoChange,Fraction,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Server_EquipSched,EquipSched,NoChange,Fraction,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Plant_EquipSched,EquipSched,NoChange,Fraction,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Equip_base_sum,1,0.153987354,0.2,0.44,0.71,,,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.235904933,0.361512585,0.466979044,0.547620692,0.626799504,0.675489358,0.701707117,0.671430254,0.65468374,0.687516991,0.73551619,0.756320208,0.760880183,0.769936771,0.748562509,0.727312987,0.658240162,0.551945035,0.467582534,0.369338147,0.276392823,0.210412357,0.154557737,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,16.66632572,13.43259128,3.23373444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equip_base_sumPlusStd,,0.2,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.308096659,0.470157801,0.606030613,0.710336495,0.812969293,0.876330469,0.910636218,0.87190668,0.850356801,0.892793798,0.95474029,0.981918001,0.988025326,1,0.972157323,0.94478567,0.855943625,0.719651193,0.611040911,0.483440474,0.361890689,0.275623518,0.20292026,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,21.66175211,17.46175211,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equip_base_sumMinStd,,0.107974709,,,,,,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.163713206,0.252867368,0.327927475,0.38490489,0.440629714,0.474648248,0.492778016,0.470953828,0.459010678,0.482240185,0.51629209,0.530722415,0.533735039,0.539873543,0.524967695,0.509840305,0.4605367,0.384238876,0.324124156,0.255235819,0.190894958,0.145201197,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,0.107974709,11.67267882,9.405209944,2.267468879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equip_Base_OH20_OFF0,Base,0.2,0,,,,,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.235904933,0.361512585,0.466979044,0.547620692,0.626799504,0.675489358,0.701707117,0.671430254,0.65468374,0.687516991,0.73551619,0.756320208,0.760880183,0.769936771,0.748562509,0.727312987,0.658240162,0.551945035,0.467582534,0.369338147,0.276392823,0.210412357,0.154557737,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,16.66632572,13.43259128,3.23373444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equip_Base_OH20_OFF1,Base,0.2,1,,,,,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.235904933,0.361512585,0.466979044,0.547620692,0.626799504,0.675489358,0.701707117,0.701707117,0.701707117,0.687516991,0.73551619,0.756320208,0.760880183,0.769936771,0.769936771,0.769936771,0.748562509,0.727312987,0.658240162,0.551945035,0.467582534,0.369338147,0.276392823,0.210412357,0.154557737,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,17.97552479,14.74121997,3.234304822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equip_Base_OH20_OFF2,Base,0.2,2,,,,,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.235904933,0.361512585,0.466979044,0.547620692,0.626799504,0.675489358,0.701707117,0.701707117,0.701707117,0.701707117,0.73551619,0.756320208,0.760880183,0.769936771,0.769936771,0.769936771,0.769936771,0.769936771,0.748562509,0.727312987,0.658240162,0.551945035,0.467582534,0.369338147,0.276392823,0.210412357,0.154557737,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,0.153987354,19.22161375,15.93088393,3.290729825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equip_PlusStd_OH20_OFF0,PlusStd,0.2,0,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.308096659,0.470157801,0.606030613,0.710336495,0.812969293,0.876330469,0.910636218,0.87190668,0.850356801,0.892793798,0.95474029,0.981918001,0.988025326,1,0.972157323,0.94478567,0.855943625,0.719651193,0.611040911,0.483440474,0.361890689,0.275623518,0.20292026,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,21.66175211,17.46175211,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equip_PlusStd_OH20_OFF1,PlusStd,0.2,1,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.308096659,0.470157801,0.606030613,0.710336495,0.812969293,0.876330469,0.910636218,0.910636218,0.910636218,0.892793798,0.95474029,0.981918001,0.988025326,1,1,1,0.972157323,0.94478567,0.855943625,0.719651193,0.611040911,0.483440474,0.361890689,0.275623518,0.20292026,0.2,0.2,0.2,0.2,0.2,0.2,0.2,23.36076106,19.1578408,4.20292026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
