Name,Type,Bedrooms,Levels,Comment,Zone,Item1,Item2,Unit,Value
,,,,,Bath1_TF,L2,Door,Zone,Hall_TF
,,,,,Bath1_TF,L3,Hang,m,1.25
,,,,,Attic,x,Coord,m,0
,,,,,Attic,y,Coord,m,7
,,,,,Attic,z,Coord,m,7.8
,,,,,Attic,L1,Length,m,9.9
,,,,,Attic,L2,Length,m,7
,,,,,Attic,h,Height,m,2.6
,,,,,Attic,L1,Pitch,fraction,0
,,,,,Attic,L2,Party,Flag,1
,,,,,Attic,L4,Party,Flag,1
,,,,,Cellar,x,Coord,m,0
,,,,,Cellar,y,Coord,m,7
,,,,,Cellar,z,Coord,m,-0.3
,,,,,Cellar,L1,Length,m,7.4
,,,,,Cellar,L2,Length,m,7
,,,,,Cellar,h,Height,m,0.3
,,,,,Cellar,L4,Party,Flag,1
,,,,,Cellar+,x,Coord,m,7.4
,,,,,Cellar+,y,Coord,m,5.7
,,,,,Cellar+,z,Coord,m,-0.3
,,,,,Cellar+,L1,Length,m,2.5
,,,,,Cellar+,L2,Length,m,5.7
,,,,,Cellar+,h,Height,m,0.3
,,,,,Cellar+,L2,Party,Flag,1
,,,,,Cellar+,L4,Party,Flag,1
,,,,,Cellar+,J,Join,Zone,Cellar
,,,,,Shaft,x,Coord,m,7.4
,,,,,Shaft,y,Coord,m,5.7
,,,,,Shaft,z,Coord,m,0
,,,,,Shaft,L1,Length,m,2.5
,,,,,Shaft,L2,Length,m,5.7
,,,,,Shaft,h,Height,m,7.8
,,,,,Shaft,L2,Party,Flag,1
,,,,,,,,,
Lowrise-Post1990,Flat,1,1,,Kitchen_GF,x,Coord,m,0
,,,,,Kitchen_GF,y,Coord,m,10
,,,,,Kitchen_GF,z,Coord,m,0
,,,,,Kitchen_GF,L1,Length,m,2.6
,,,,,Kitchen_GF,L2,Length,m,3.6
,,,,,Kitchen_GF,h,Height,m,2.4
,,,,,Kitchen_GF,L3,Door,Zone,Hall_GF
,,,,,Kitchen_GF,L1,Glazing,fraction,0.288
,,,,,Bedroom1_GF,x,Coord,m,2.6
,,,,,Bedroom1_GF,y,Coord,m,10
,,,,,Bedroom1_GF,z,Coord,m,0
,,,,,Bedroom1_GF,L1,Length,m,3.4
,,,,,Bedroom1_GF,L2,Length,m,3.6
,,,,,Bedroom1_GF,h,Height,m,2.4
,,,,,Bedroom1_GF,L3,Door,Zone,Hall_GF
,,,,,Bedroom1_GF,L2,Party,Flag,1
,,,,,Bedroom1_GF,L1,Glazing,fraction,0.22
,,,,,Bath1_GF,x,Coord,m,3.6
,,,,,Bath1_GF,y,Coord,m,6.2
,,,,,Bath1_GF,z,Coord,m,0
,,,,,Bath1_GF,L1,Length,m,2.4
,,,,,Bath1_GF,L2,Length,m,1.8
,,,,,Bath1_GF,h,Height,m,2.4
,,,,,Bath1_GF,L4,Door,Zone,Hall_GF
,,,,,Bath1_GF,L2,Party,Flag,1
,,,,,Bath1_GF+,x,Coord,m,3.6
,,,,,Bath1_GF+,y,Coord,m,6.4
,,,,,Bath1_GF+,z,Coord,m,0
,,,,,Bath1_GF+,L1,Length,m,2.4
,,,,,Bath1_GF+,L2,Length,m,0.2
,,,,,Bath1_GF+,h,Height,m,2.4
,,,,,Bath1_GF+,J,Join,Zone,Bath1_GF
,,,,,Living_GF,x,Coord,m,2.2
,,,,,Living_GF,y,Coord,m,4.4
,,,,,Living_GF,z,Coord,m,0
,,,,,Living_GF,L1,Length,m,3.8
,,,,,Living_GF,L2,Length,m,4.4
,,,,,Living_GF,h,Height,m,2.4
,,,,,Living_GF,L1,Door,Zone,Hall_GF
,,,,,Living_GF,L2,Party,Flag,1
,,,,,Living_GF,L4,Party,Flag,1
,,,,,Living_GF,L3,Glazing,fraction,0.236
,,,,,Hall_GF,x,Coord,m,0
,,,,,Hall_GF,y,Coord,m,6.4
,,,,,Hall_GF,z,Coord,m,0
,,,,,Hall_GF,L1,Length,m,3.6
,,,,,Hall_GF,L2,Length,m,2
,,,,,Hall_GF,h,Height,m,2.4
,,,,,Hall_GF,L3,Party,Flag,1
,,,,,Hall_GF,L4,Party,Flag,1
,,,,,Kitchen_MF,x,Coord,m,0
,,,,,Kitchen_MF,y,Coord,m,10
,,,,,Kitchen_MF,z,Coord,m,2.4
,,,,,Kitchen_MF,L1,Length,m,2.6
,,,,,Kitchen_MF,L2,Length,m,3.6
,,,,,Kitchen_MF,h,Height,m,2.4
,,,,,Kitchen_MF,L3,Door,Zone,Hall_MF
,,,,,Kitchen_MF,L1,Glazing,fraction,0.288
,,,,,Bedroom1_MF,x,Coord,m,2.6
,,,,,Bedroom1_MF,y,Coord,m,10
,,,,,Bedroom1_MF,z,Coord,m,2.4
,,,,,Bedroom1_MF,L1,Length,m,3.4
,,,,,Bedroom1_MF,L2,Length,m,3.6
,,,,,Bedroom1_MF,h,Height,m,2.4
,,,,,Bedroom1_MF,L3,Door,Zone,Hall_MF
,,,,,Bedroom1_MF,L2,Party,Flag,1
,,,,,Bedroom1_MF,L1,Glazing,fraction,0.22
,,,,,Bath1_MF,x,Coord,m,3.6
,,,,,Bath1_MF,y,Coord,m,6.2
,,,,,Bath1_MF,z,Coord,m,2.4
,,,,,Bath1_MF,L1,Length,m,2.4
,,,,,Bath1_MF,L2,Length,m,1.8
,,,,,Bath1_MF,h,Height,m,2.4
,,,,,Bath1_MF,L4,Door,Zone,Hall_MF
,,,,,Bath1_MF,L2,Party,Flag,1
,,,,,Bath1_MF+,x,Coord,m,3.6
,,,,,Bath1_MF+,y,Coord,m,6.4
,,,,,Bath1_MF+,z,Coord,m,2.4
,,,,,Bath1_MF+,L1,Length,m,2.4
,,,,,Bath1_MF+,L2,Length,m,0.2
,,,,,Bath1_MF+,h,Height,m,2.4
,,,,,Bath1_MF+,J,Join,Zone,Bath1_MF
,,,,,Living_MF,x,Coord,m,2.2
,,,,,Living_MF,y,Coord,m,4.4
,,,,,Living_MF,z,Coord,m,2.4
,,,,,Living_MF,L1,Length,m,3.8
,,,,,Living_MF,L2,Length,m,4.4
,,,,,Living_MF,h,Height,m,2.4
,,,,,Living_MF,L1,Door,Zone,Hall_MF
,,,,,Living_MF,L2,Party,Flag,1
,,,,,Living_MF,L4,Party,Flag,1
,,,,,Living_MF,L3,Glazing,fraction,0.236
,,,,,Hall_MF,x,Coord,m,0
,,,,,Hall_MF,y,Coord,m,6.4
,,,,,Hall_MF,z,Coord,m,2.4
,,,,,Hall_MF,L1,Length,m,3.6
,,,,,Hall_MF,L2,Length,m,2
,,,,,Hall_MF,h,Height,m,2.4
,,,,,Hall_MF,L3,Party,Flag,1
,,,,,Hall_MF,L4,Party,Flag,1
,,,,,Kitchen_TF,x,Coord,m,0
,,,,,Kitchen_TF,y,Coord,m,10
,,,,,Kitchen_TF,z,Coord,m,4.8
,,,,,Kitchen_TF,L1,Length,m,2.6
,,,,,Kitchen_TF,L2,Length,m,3.6
,,,,,Kitchen_TF,h,Height,m,2.4
,,,,,Kitchen_TF,L3,Door,Zone,Hall_TF
,,,,,Kitchen_TF,L1,Glazing,fraction,0.288
,,,,,Bedroom1_TF,x,Coord,m,2.6
,,,,,Bedroom1_TF,y,Coord,m,10
,,,,,Bedroom1_TF,z,Coord,m,4.8
,,,,,Bedroom1_TF,L1,Length,m,3.4
,,,,,Bedroom1_TF,L2,Length,m,3.6
,,,,,Bedroom1_TF,h,Height,m,2.4
,,,,,Bedroom1_TF,L3,Door,Zone,Hall_TF
,,,,,Bedroom1_TF,L2,Party,Flag,1
,,,,,Bedroom1_TF,L1,Glazing,fraction,0.22
,,,,,Bath1_TF,x,Coord,m,3.6
,,,,,Bath1_TF,y,Coord,m,6.2
,,,,,Bath1_TF,z,Coord,m,4.8
,,,,,Bath1_TF,L1,Length,m,2.4
,,,,,Bath1_TF,L2,Length,m,1.8
,,,,,Bath1_TF,h,Height,m,2.4
,,,,,Bath1_TF,L4,Door,Zone,Hall_TF
,,,,,Bath1_TF,L2,Party,Flag,1
,,,,,Bath1_TF+,x,Coord,m,3.6
,,,,,Bath1_TF+,y,Coord,m,6.4
,,,,,Bath1_TF+,z,Coord,m,4.8
,,,,,Bath1_TF+,L1,Length,m,2.4
,,,,,Bath1_TF+,L2,Length,m,0.2
,,,,,Bath1_TF+,h,Height,m,2.4
,,,,,Bath1_TF+,J,Join,Zone,Bath1_TF
,,,,,Living_TF,x,Coord,m,2.2
,,,,,Living_TF,y,Coord,m,4.4
,,,,,Living_TF,z,Coord,m,4.8
,,,,,Living_TF,L1,Length,m,3.8
,,,,,Living_TF,L2,Length,m,4.4
,,,,,Living_TF,h,Height,m,2.4
,,,,,Living_TF,L1,Door,Zone,Hall_TF
,,,,,Living_TF,L2,Party,Flag,1
,,,,,Living_TF,L4,Party,Flag,1
,,,,,Living_TF,L3,Glazing,fraction,0.2368
,,,,,Hall_TF,x,Coord,m,0
,,,,,Hall_TF,y,Coord,m,6.4
,,,,,Hall_TF,z,Coord,m,4.8
,,,,,Hall_TF,L1,Length,m,3.6
,,,,,Hall_TF,L2,Length,m,2
,,,,,Hall_TF,h,Height,m,2.4
,,,,,Hall_TF,L3,Party,Flag,1
,,,,,Hall_TF,L4,Party,Flag,1
,,,,,Loft,x,Coord,m,0
,,,,,Loft,y,Coord,m,10
,,,,,Loft,z,Coord,m,7.2
,,,,,Loft,L1,Length,m,6
,,,,,Loft,L2,Length,m,5.6
,,,,,Loft,h,Height,m,2.4
,,,,,Loft,L2,Party,Flag,1
,,,,,Loft+,x,Coord,m,2.2
,,,,,Loft+,y,Coord,m,4.4
,,,,,Loft+,z,Coord,m,7.2
,,,,,Loft+,L1,Length,m,3.8
,,,,,Loft+,L2,Length,m,4.4
,,,,,Loft+,h,Height,m,2.4
,,,,,Loft+,L2,Party,Flag,1
,,,,,Loft+,L4,Party,Flag,1
,,,,,Loft+,J,Join,Zone,Loft
,,,,,Loft++,x,Coord,m,-5
,,,,,Loft++,y,Coord,m,8.1
,,,,,Loft++,z,Coord,m,7.2
,,,,,Loft++,L1,Length,m,5
,,,,,Loft++,L2,Length,m,3.7
,,,,,Loft++,h,Height,m,2.4
,,,,,Loft++,L3,Party,Flag,1
,,,,,Loft++,L4,Party,Flag,1
,,,,,Loft++,J,Join,Zone,Loft
,,,,,Cellar,x,Coord,m,0
,,,,,Cellar,y,Coord,m,10
,,,,,Cellar,z,Coord,m,-0.3
,,,,,Cellar,L1,Length,m,6
,,,,,Cellar,L2,Length,m,5.6
,,,,,Cellar,h,Height,m,0.3
,,,,,Cellar,L2,Party,Flag,1
,,,,,Cellar+,x,Coord,m,2.2
,,,,,Cellar+,y,Coord,m,4.4
,,,,,Cellar+,z,Coord,m,-0.3
,,,,,Cellar+,L1,Length,m,3.8
,,,,,Cellar+,L2,Length,m,4.4
,,,,,Cellar+,h,Height,m,0.3
,,,,,Cellar+,L2,Party,Flag,1
,,,,,Cellar+,L4,Party,Flag,1
,,,,,Cellar+,J,Join,Zone,Cellar
,,,,,Cellar++,x,Coord,m,-5
,,,,,Cellar++,y,Coord,m,8.1
,,,,,Cellar++,z,Coord,m,-0.3
,,,,,Cellar++,L1,Length,m,5
,,,,,Cellar++,L2,Length,m,3.7
,,,,,Cellar++,h,Height,m,0.3
,,,,,Cellar++,L3,Party,Flag,1
,,,,,Cellar++,L4,Party,Flag,1
,,,,,Cellar++,J,Join,Zone,Cellar
,,,,,Shaft,x,Coord,m,-5
,,,,,Shaft,y,Coord,m,8.1
,,,,,Shaft,z,Coord,m,0
,,,,,Shaft,L1,Length,m,5
,,,,,Shaft,L2,Length,m,3.7
,,,,,Shaft,h,Height,m,7.2
,,,,,Shaft,L3,Party,Flag,1
,,,,,Shaft,L4,Party,Flag,1
,,,,,,,,,
Highrise,Flat,1,1,,Hall_GF,x,Coord,m,1.8
,,,,,Hall_GF,y,Coord,m,11
,,,,,Hall_GF,z,Coord,m,0
,,,,,Hall_GF,L1,Length,m,1
,,,,,Hall_GF,L2,Length,m,8
,,,,,Hall_GF,h,Height,m,2.4
,,,,,Hall_GF,L1,Party,Flag,1
,,,,,Bedroom2_GF,x,Coord,m,2.8
,,,,,Bedroom2_GF,y,Coord,m,11
,,,,,Bedroom2_GF,z,Coord,m,0
,,,,,Bedroom2_GF,L1,Length,m,4.2
,,,,,Bedroom2_GF,L2,Length,m,2.7
,,,,,Bedroom2_GF,h,Height,m,2.4
,,,,,Bedroom2_GF,L4,Door,Zone,Hall_GF
,,,,,Bedroom2_GF,L1,Party,Flag,1
,,,,,Bedroom2_GF,L2,Glazing,fraction,0.444
,,,,,Bedroom1_GF,x,Coord,m,2.8
,,,,,Bedroom1_GF,y,Coord,m,8.3
,,,,,Bedroom1_GF,z,Coord,m,0
,,,,,Bedroom1_GF,L1,Length,m,3.2
,,,,,Bedroom1_GF,L2,Length,m,3.8
,,,,,Bedroom1_GF,h,Height,m,2.4
,,,,,Bedroom1_GF,L4,Door,Zone,Hall_GF
,,,,,Bedroom1_GF,L2,Glazing,fraction,0.421
,,,,,Living_GF,x,Coord,m,2.8
,,,,,Living_GF,y,Coord,m,4.5
,,,,,Living_GF,z,Coord,m,0
,,,,,Living_GF,L1,Length,m,4.2
,,,,,Living_GF,L2,Length,m,4.5
,,,,,Living_GF,h,Height,m,2.4
,,,,,Living_GF,L4,Door,Zone,Hall_GF
,,,,,Living_GF,L2,Glazing,fraction,0.467
,,,,,Living_GF,L3,Glazing,fraction,0.111
,,,,,Kitchen_GF,x,Coord,m,0
,,,,,Kitchen_GF,y,Coord,m,3
,,,,,Kitchen_GF,z,Coord,m,0
,,,,,Kitchen_GF,L1,Length,m,2.8
,,,,,Kitchen_GF,L2,Length,m,3
,,,,,Kitchen_GF,h,Height,m,2.4
,,,,,Kitchen_GF,L1,Door,Zone,Hall_GF
,,,,,Kitchen_GF,L4,Party,Flag,1
,,,,,Kitchen_GF,L3,Glazing,fraction,0.3125
,,,,,Bath1_GF,x,Coord,m,0
,,,,,Bath1_GF,y,Coord,m,6.4
,,,,,Bath1_GF,z,Coord,m,0
,,,,,Bath1_GF,L1,Length,m,1.8
,,,,,Bath1_GF,L2,Length,m,3.4
,,,,,Bath1_GF,h,Height,m,2.4
,,,,,Bath1_GF,L2,Door,Zone,Hall_GF
,,,,,Bath1_GF,L4,Party,Flag,1
,,,,,Bath1_GF+,x,Coord,m,0
,,,,,Bath1_GF+,y,Coord,m,6.6
,,,,,Bath1_GF+,z,Coord,m,0
,,,,,Bath1_GF+,L1,Length,m,1.8
,,,,,Bath1_GF+,L2,Length,m,0.2
,,,,,Bath1_GF+,h,Height,m,2.4
,,,,,Bath1_GF+,J,Join,Zone,Bath1_GF
,,,,,Bath1_GF,L1,Party,Flag,1
,,,,,Unzoned1,x,Coord,m,1.8
,,,,,Unzoned1,y,Coord,m,11
,,,,,Unzoned1,z,Coord,m,2.4
,,,,,Unzoned1,L1,Length,m,5.2
,,,,,Unzoned1,L2,Length,m,11
,,,,,Unzoned1,h,Height,m,2.4
,,,,,Unzoned1,L1,Party,Flag,1
,,,,,Unzoned1,L4,Party,Flag,1
,,,,,Unzoned1+,x,Coord,m,0
,,,,,Unzoned1+,y,Coord,m,6.6
,,,,,Unzoned1+,z,Coord,m,2.4
,,,,,Unzoned1+,L1,Length,m,1.8
,,,,,Unzoned1+,L2,Length,m,6.6
,,,,,Unzoned1+,h,Height,m,2.4
,,,,,Unzoned1+,L1,Party,Flag,1
,,,,,Unzoned1+,L4,Party,Flag,1
,,,,,Unzoned1+,J,Join,Zone,Unzoned1
,,,,,Unzoned2,x,Coord,m,1.8
,,,,,Unzoned2,y,Coord,m,11
,,,,,Unzoned2,z,Coord,m,4.8
,,,,,Unzoned2,L1,Length,m,5.2
,,,,,Unzoned2,L2,Length,m,11
,,,,,Unzoned2,h,Height,m,2.4
,,,,,Unzoned2,L1,Party,Flag,1
,,,,,Unzoned2,L4,Party,Flag,1
,,,,,Unzoned2+,x,Coord,m,0
,,,,,Unzoned2+,y,Coord,m,6.6
,,,,,Unzoned2+,z,Coord,m,4.8
,,,,,Unzoned2+,L1,Length,m,1.8
,,,,,Unzoned2+,L2,Length,m,6.6
,,,,,Unzoned2+,h,Height,m,2.4
,,,,,Unzoned2+,L1,Party,Flag,1
,,,,,Unzoned2+,L4,Party,Flag,1
,,,,,Unzoned2+,J,Join,Zone,Unzoned2
,,,,,Unzoned3,x,Coord,m,1.8
,,,,,Unzoned3,y,Coord,m,11
,,,,,Unzoned3,z,Coord,m,7.2
,,,,,Unzoned3,L1,Length,m,5.2
,,,,,Unzoned3,L2,Length,m,11
,,,,,Unzoned3,h,Height,m,2.4
,,,,,Unzoned3,L1,Party,Flag,1
,,,,,Unzoned3,L4,Party,Flag,1
,,,,,Unzoned3+,x,Coord,m,0
,,,,,Unzoned3+,y,Coord,m,6.6
,,,,,Unzoned3+,z,Coord,m,7.2
,,,,,Unzoned3+,L1,Length,m,1.8
,,,,,Unzoned3+,L2,Length,m,6.6
,,,,,Unzoned3+,h,Height,m,2.4
,,,,,Unzoned3+,L1,Party,Flag,1
,,,,,Unzoned3+,L4,Party,Flag,1
,,,,,Unzoned3+,J,Join,Zone,Unzoned3
,,,,,Unzoned4,x,Coord,m,1.8
,,,,,Unzoned4,y,Coord,m,11
,,,,,Unzoned4,z,Coord,m,9.6
,,,,,Unzoned4,L1,Length,m,5.2
,,,,,Unzoned4,L2,Length,m,11
,,,,,Unzoned4,h,Height,m,2.4
,,,,,Unzoned4,L1,Party,Flag,1
,,,,,Unzoned4,L4,Party,Flag,1
,,,,,Unzoned4+,x,Coord,m,0
,,,,,Unzoned4+,y,Coord,m,6.6
,,,,,Unzoned4+,z,Coord,m,9.6
,,,,,Unzoned4+,L1,Length,m,1.8
,,,,,Unzoned4+,L2,Length,m,6.6
,,,,,Unzoned4+,h,Height,m,2.4
,,,,,Unzoned4+,L1,Party,Flag,1
,,,,,Unzoned4+,L4,Party,Flag,1
,,,,,Unzoned4+,J,Join,Zone,Unzoned4
,,,,,Unzoned5,x,Coord,m,1.8
,,,,,Unzoned5,y,Coord,m,11
,,,,,Unzoned5,z,Coord,m,12
,,,,,Unzoned5,L1,Length,m,5.2
,,,,,Unzoned5,L2,Length,m,11
,,,,,Unzoned5,h,Height,m,2.4
,,,,,Unzoned5,L1,Party,Flag,1
,,,,,Unzoned5,L4,Party,Flag,1
,,,,,Unzoned5+,x,Coord,m,0
,,,,,Unzoned5+,y,Coord,m,6.6
,,,,,Unzoned5+,z,Coord,m,12
,,,,,Unzoned5+,L1,Length,m,1.8
,,,,,Unzoned5+,L2,Length,m,6.6
,,,,,Unzoned5+,h,Height,m,2.4
,,,,,Unzoned5+,L1,Party,Flag,1
,,,,,Unzoned5+,L4,Party,Flag,1
,,,,,Unzoned5+,J,Join,Zone,Unzoned5
,,,,,Hall_MF,x,Coord,m,1.8
,,,,,Hall_MF,y,Coord,m,11
,,,,,Hall_MF,z,Coord,m,14.4
,,,,,Hall_MF,L1,Length,m,1
,,,,,Hall_MF,L2,Length,m,8
,,,,,Hall_MF,h,Height,m,2.4
,,,,,Hall_MF,L1,Party,Flag,1
,,,,,Bedroom2_MF,x,Coord,m,2.8
,,,,,Bedroom2_MF,y,Coord,m,11
,,,,,Bedroom2_MF,z,Coord,m,14.4
,,,,,Bedroom2_MF,L1,Length,m,4.2
,,,,,Bedroom2_MF,L2,Length,m,2.7
,,,,,Bedroom2_MF,h,Height,m,2.4
,,,,,Bedroom2_MF,L4,Door,Zone,Hall_MF
,,,,,Bedroom2_MF,L1,Party,Flag,1
,,,,,Bedroom2_MF,L2,Glazing,fraction,0.444
,,,,,Bedroom1_MF,x,Coord,m,2.8
,,,,,Bedroom1_MF,y,Coord,m,8.3
,,,,,Bedroom1_MF,z,Coord,m,14.4
,,,,,Bedroom1_MF,L1,Length,m,3.2
,,,,,Bedroom1_MF,L2,Length,m,3.8
,,,,,Bedroom1_MF,h,Height,m,2.4
,,,,,Bedroom1_MF,L4,Door,Zone,Hall_MF
,,,,,Bedroom1_MF,L2,Glazing,fraction,0.421
,,,,,Living_MF,x,Coord,m,2.8
,,,,,Living_MF,y,Coord,m,4.5
,,,,,Living_MF,z,Coord,m,14.4
,,,,,Living_MF,L1,Length,m,4.2
,,,,,Living_MF,L2,Length,m,4.5
,,,,,Living_MF,h,Height,m,2.4
,,,,,Living_MF,L4,Door,Zone,Hall_MF
,,,,,Living_MF,L2,Glazing,fraction,0.467
,,,,,Living_MF,L3,Glazing,fraction,0.111
,,,,,Kitchen_MF,x,Coord,m,0
,,,,,Kitchen_MF,y,Coord,m,3
,,,,,Kitchen_MF,z,Coord,m,14.4
,,,,,Kitchen_MF,L1,Length,m,2.8
,,,,,Kitchen_MF,L2,Length,m,3
,,,,,Kitchen_MF,h,Height,m,2.4
,,,,,Kitchen_MF,L1,Door,Zone,Hall_MF
,,,,,Kitchen_MF,L4,Party,Flag,1
,,,,,Kitchen_MF,L3,Glazing,fraction,0.3125
,,,,,Bath1_MF,x,Coord,m,0
,,,,,Bath1_MF,y,Coord,m,6.4
,,,,,Bath1_MF,z,Coord,m,14.4
,,,,,Bath1_MF,L1,Length,m,1.8
,,,,,Bath1_MF,L2,Length,m,3.4
,,,,,Bath1_MF,h,Height,m,2.4
,,,,,Bath1_MF,L2,Door,Zone,Hall_MF
,,,,,Bath1_MF,L4,Party,Flag,1
,,,,,Bath1_MF+,x,Coord,m,0
,,,,,Bath1_MF+,y,Coord,m,6.6
,,,,,Bath1_MF+,z,Coord,m,14.4
,,,,,Bath1_MF+,L1,Length,m,1.8
,,,,,Bath1_MF+,L2,Length,m,0.2
,,,,,Bath1_MF+,h,Height,m,2.4
,,,,,Bath1_MF+,J,Join,Zone,Bath1_MF
,,,,,Bath1_MF,L1,Party,Flag,1
,,,,,Unzoned7,x,Coord,m,1.8
,,,,,Unzoned7,y,Coord,m,11
,,,,,Unzoned7,z,Coord,m,16.8
,,,,,Unzoned7,L1,Length,m,5.2
,,,,,Unzoned7,L2,Length,m,11
,,,,,Unzoned7,h,Height,m,2.4
,,,,,Unzoned7,L1,Party,Flag,1
,,,,,Unzoned7,L4,Party,Flag,1
,,,,,Unzoned7+,x,Coord,m,0
,,,,,Unzoned7+,y,Coord,m,6.6
,,,,,Unzoned7+,z,Coord,m,16.8
,,,,,Unzoned7+,L1,Length,m,1.8
,,,,,Unzoned7+,L2,Length,m,6.6
,,,,,Unzoned7+,h,Height,m,2.4
,,,,,Unzoned7+,L1,Party,Flag,1
,,,,,Unzoned7+,L4,Party,Flag,1
,,,,,Unzoned7+,J,Join,Zone,Unzoned7
,,,,,Unzoned8,x,Coord,m,1.8
,,,,,Unzoned8,y,Coord,m,11
,,,,,Unzoned8,z,Coord,m,19.2
,,,,,Unzoned8,L1,Length,m,5.2
,,,,,Unzoned8,L2,Length,m,11
,,,,,Unzoned8,h,Height,m,2.4
,,,,,Unzoned8,L1,Party,Flag,1
,,,,,Unzoned8,L4,Party,Flag,1
,,,,,Unzoned8+,x,Coord,m,0
,,,,,Unzoned8+,y,Coord,m,6.6
,,,,,Unzoned8+,z,Coord,m,19.2
,,,,,Unzoned8+,L1,Length,m,1.8
,,,,,Unzoned8+,L2,Length,m,6.6
,,,,,Unzoned8+,h,Height,m,2.4
,,,,,Unzoned8+,L1,Party,Flag,1
,,,,,Unzoned8+,L4,Party,Flag,1
,,,,,Unzoned8+,J,Join,Zone,Unzoned8
,,,,,Unzoned9,x,Coord,m,1.8
,,,,,Unzoned9,y,Coord,m,11
,,,,,Unzoned9,z,Coord,m,21.6
,,,,,Unzoned9,L1,Length,m,5.2
,,,,,Unzoned9,L2,Length,m,11
,,,,,Unzoned9,h,Height,m,2.4
,,,,,Unzoned9,L1,Party,Flag,1
,,,,,Unzoned9,L4,Party,Flag,1
,,,,,Unzoned9+,x,Coord,m,0
,,,,,Unzoned9+,y,Coord,m,6.6
,,,,,Unzoned9+,z,Coord,m,21.6
,,,,,Unzoned9+,L1,Length,m,1.8
,,,,,Unzoned9+,L2,Length,m,6.6
,,,,,Unzoned9+,h,Height,m,2.4
,,,,,Unzoned9+,L1,Party,Flag,1
,,,,,Unzoned9+,L4,Party,Flag,1
,,,,,Unzoned9+,J,Join,Zone,Unzoned9
,,,,,Unzoned10,x,Coord,m,1.8
,,,,,Unzoned10,y,Coord,m,11
,,,,,Unzoned10,z,Coord,m,24
,,,,,Unzoned10,L1,Length,m,5.2
,,,,,Unzoned10,L2,Length,m,11
,,,,,Unzoned10,h,Height,m,2.4
,,,,,Unzoned10,L1,Party,Flag,1
,,,,,Unzoned10,L4,Party,Flag,1
,,,,,Unzoned10+,x,Coord,m,0
,,,,,Unzoned10+,y,Coord,m,6.6
,,,,,Unzoned10+,z,Coord,m,24
,,,,,Unzoned10+,L1,Length,m,1.8
,,,,,Unzoned10+,L2,Length,m,6.6
,,,,,Unzoned10+,h,Height,m,2.4
,,,,,Unzoned10+,L1,Party,Flag,1
,,,,,Unzoned10+,L4,Party,Flag,1
,,,,,Unzoned10+,J,Join,Zone,Unzoned10
,,,,,Hall_TF,x,Coord,m,1.8
,,,,,Hall_TF,y,Coord,m,11
,,,,,Hall_TF,z,Coord,m,26.4
,,,,,Hall_TF,L1,Length,m,1
,,,,,Hall_TF,L2,Length,m,8
,,,,,Hall_TF,h,Height,m,2.4
,,,,,Hall_TF,L1,Party,Flag,1
,,,,,Bedroom2_TF,x,Coord,m,2.8
,,,,,Bedroom2_TF,y,Coord,m,11
,,,,,Bedroom2_TF,z,Coord,m,26.4
,,,,,Bedroom2_TF,L1,Length,m,4.2
,,,,,Bedroom2_TF,L2,Length,m,2.7
,,,,,Bedroom2_TF,h,Height,m,2.4
,,,,,Bedroom2_TF,L4,Door,Zone,Hall_TF
,,,,,Bedroom2_TF,L1,Party,Flag,1
,,,,,Bedroom2_TF,L2,Glazing,fraction,0.444
,,,,,Bedroom1_TF,x,Coord,m,2.8
,,,,,Bedroom1_TF,y,Coord,m,8.3
,,,,,Bedroom1_TF,z,Coord,m,26.4
,,,,,Bedroom1_TF,L1,Length,m,3.2
,,,,,Bedroom1_TF,L2,Length,m,3.8
,,,,,Bedroom1_TF,h,Height,m,2.4
,,,,,Bedroom1_TF,L4,Door,Zone,Hall_TF
,,,,,Bedroom1_TF,L2,Glazing,fraction,0.421
,,,,,Living_TF,x,Coord,m,2.8
,,,,,Living_TF,y,Coord,m,4.5
,,,,,Living_TF,z,Coord,m,26.4
,,,,,Living_TF,L1,Length,m,4.2
,,,,,Living_TF,L2,Length,m,4.5
,,,,,Living_TF,h,Height,m,2.4
,,,,,Living_TF,L4,Door,Zone,Hall_TF
,,,,,Living_TF,L2,Glazing,fraction,0.467
,,,,,Living_TF,L3,Glazing,fraction,0.111
,,,,,Kitchen_TF,x,Coord,m,0
,,,,,Kitchen_TF,y,Coord,m,3
,,,,,Kitchen_TF,z,Coord,m,26.4
,,,,,Kitchen_TF,L1,Length,m,2.8
,,,,,Kitchen_TF,L2,Length,m,3
,,,,,Kitchen_TF,h,Height,m,2.4
,,,,,Kitchen_TF,L1,Door,Zone,Hall_TF
,,,,,Kitchen_TF,L4,Party,Flag,1
,,,,,Kitchen_TF,L3,Glazing,fraction,0.3125
,,,,,Bath1_TF,x,Coord,m,0
,,,,,Bath1_TF,y,Coord,m,6.4
,,,,,Bath1_TF,z,Coord,m,26.4
,,,,,Bath1_TF,L1,Length,m,1.8
,,,,,Bath1_TF,L2,Length,m,3.4
,,,,,Bath1_TF,h,Height,m,2.4
,,,,,Bath1_TF,L2,Door,Zone,Hall_TF
,,,,,Bath1_TF,L4,Party,Flag,1
,,,,,Bath1_TF+,x,Coord,m,0
,,,,,Bath1_TF+,y,Coord,m,6.6
,,,,,Bath1_TF+,z,Coord,m,26.4
